"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"dependent.var","lsg_ed","ones",NA,"ones",1.61538461538462,NA,1.37220006264812,1.85856916812111,"district","al.kaim"
"dependent.var1","lsg_ed","ones",NA,"ones",1.1280487804878,NA,1.03970496198466,1.21639259899095,"district","haditha"
"dependent.var2","lsg_ed","ones",NA,"ones",1.84057971014493,NA,1.59237393296029,2.08878548732956,"district","al.rutba"
"dependent.var3","lsg_ed","ones",NA,"ones",1.35126582278481,NA,1.25705036692528,1.44548127864434,"district","khanaqin"
"dependent.var4","lsg_ed","ones",NA,"ones",1.68571428571429,NA,1.44800389257894,1.92342467884963,"district","al.adhamiya"
"dependent.var5","lsg_ed","ones",NA,"ones",1.39130434782609,NA,1.22411787371806,1.55849082193411,"district","kalar"
"dependent.var6","lsg_ed","ones",NA,"ones",1.25925925925926,NA,1.11952141668861,1.3989971018299,"district","al.hatra"
"dependent.var7","lsg_ed","ones",NA,"ones",1,NA,1,1,"district","al.muqdadiya"
"dependent.var8","lsg_ed","ones",NA,"ones",1.56235294117647,NA,1.46788834135516,1.65681754099778,"district","sumail"
"dependent.var9","lsg_ed","ones",NA,"ones",1.7,NA,1.18535597100063,2.21464402899937,"district","rawanduz"
"dependent.var10","lsg_ed","ones",NA,"ones",2.02415458937198,NA,1.92118735402771,2.12712182471626,"district","al.mosul"
"dependent.var11","lsg_ed","ones",NA,"ones",1.77507598784195,NA,1.65087202909784,1.89927994658605,"district","al.shikhan"
"dependent.var12","lsg_ed","ones",NA,"ones",1.41269841269841,NA,1.19257179879275,1.63282502660408,"district","balad"
"dependent.var13","lsg_ed","ones",NA,"ones",1.62758620689655,NA,1.44769787583036,1.80747453796274,"district","al.mahmoudiya"
"dependent.var14","lsg_ed","ones",NA,"ones",1.6056338028169,NA,1.34048495599654,1.87078264963726,"district","ana"
"dependent.var15","lsg_ed","ones",NA,"ones",1.89763779527559,NA,1.68880354907524,2.10647204147594,"district","sinjar"
"dependent.var16","lsg_ed","ones",NA,"ones",1.23255813953488,NA,1.0081550255386,1.45696125353117,"district","al.diwaniya"
"dependent.var17","lsg_ed","ones",NA,"ones",1.07894736842105,NA,0.964869100172026,1.19302563667008,"district","kerbela"
"dependent.var18","lsg_ed","ones",NA,"ones",1.16666666666667,NA,1.0347192514355,1.29861408189784,"district","al.hindiya"
"dependent.var19","lsg_ed","ones",NA,"ones",1.61946902654867,NA,1.39728657225974,1.84165148083761,"district","al.ramadi"
"dependent.var20","lsg_ed","ones",NA,"ones",1.68965517241379,NA,1.5421224181561,1.83718792667149,"district","tikrit"
"dependent.var21","lsg_ed","ones",NA,"ones",1.60621761658031,NA,1.45794496984592,1.75449026331471,"district","erbil"
"dependent.var22","lsg_ed","ones",NA,"ones",1.83233532934132,NA,1.65880673055099,2.00586392813165,"district","tilkaef"
"dependent.var23","lsg_ed","ones",NA,"ones",1.71014492753623,NA,1.5716803023191,1.84860955275336,"district","al.shirqat"
"dependent.var24","lsg_ed","ones",NA,"ones",1.83823529411765,NA,1.71095155997416,1.96551902826113,"district","kirkuk"
"dependent.var25","lsg_ed","ones",NA,"ones",1.61904761904762,NA,1.14132099891041,2.09677423918483,"district","samarra"
"dependent.var26","lsg_ed","ones",NA,"ones",2.37362637362637,NA,2.09017364467056,2.65707910258218,"district","chamchamal"
"dependent.var27","lsg_ed","ones",NA,"ones",1.74193548387097,NA,1.50427106937287,1.97959989836907,"district","al.hawiga"
"dependent.var28","lsg_ed","ones",NA,"ones",1.83116883116883,NA,1.5336946714325,2.12864299090516,"district","al.risafa"
"dependent.var29","lsg_ed","ones",NA,"ones",1.66666666666667,NA,1.38173332623932,1.95160000709401,"district","shaqlawa"
"dependent.var30","lsg_ed","ones",NA,"ones",1.1,NA,0.98877590372556,1.21122409627444,"district","al.kut"
"dependent.var31","lsg_ed","ones",NA,"ones",1.6258064516129,NA,1.45172867884062,1.79988422438518,"district","al.sulaymaniyah"
"dependent.var32","lsg_ed","ones",NA,"ones",1.6625,NA,1.42361249236956,1.90138750763045,"district","duhok"
"dependent.var33","lsg_ed","ones",NA,"ones",1.84615384615385,NA,1.58640401898839,2.1059036733193,"district","koysinjaq"
"dependent.var34","lsg_ed","ones",NA,"ones",1.6195652173913,NA,1.39935386179632,1.83977657298629,"district","heet"
"dependent.var35","lsg_ed","ones",NA,"ones",2.06666666666667,NA,1.86986804704271,2.26346528629062,"district","telafar"
"dependent.var36","lsg_ed","ones",NA,"ones",1.58441558441558,NA,1.34584948287961,1.82298168595156,"district","rania"
"dependent.var37","lsg_ed","ones",NA,"ones",1.45070422535211,NA,1.20269665016066,1.69871180054357,"district","al.karkh"
"dependent.var38","lsg_ed","ones",NA,"ones",1.51639344262295,NA,1.34838746603883,1.68439941920707,"district","aqra"
"dependent.var39","lsg_ed","ones",NA,"ones",1.62820512820513,NA,1.38012985744647,1.87628039896379,"district","derbendikhan"
"dependent.var40","lsg_ed","ones",NA,"ones",1.71428571428571,NA,1.18797482416766,2.24059660440377,"district","al.basrah"
"dependent.var41","lsg_ed","ones",NA,"ones",2.01204819277108,NA,1.81890775056976,2.20518863497241,"district","daquq"
"dependent.var42","lsg_ed","ones",NA,"ones",1.29545454545455,NA,1.04393026565534,1.54697882525375,"district","al.suwaira"
"dependent.var43","lsg_ed","ones",NA,"ones",1.67796610169492,NA,1.37294034571538,1.98299185767445,"district","kifri"
"dependent.var44","lsg_ed","ones",NA,"ones",1.66037735849057,NA,1.47054761112019,1.85020710586094,"district","al.kadhmiyah"
"dependent.var45","lsg_ed","ones",NA,"ones",2.06153846153846,NA,1.85429010077544,2.26878682230149,"district","beygee"
"dependent.var46","lsg_ed","ones",NA,"ones",2.00789473684211,NA,1.87693609100388,2.13885338268033,"district","al.hamdaniya"
"dependent.var47","lsg_ed","ones",NA,"ones",1.43939393939394,NA,1.20710674279585,1.67168113599203,"district","halabcha"
"dependent.var48","lsg_ed","ones",NA,"ones",1.85454545454545,NA,1.4970024826767,2.21208842641421,"district","al.mussyab"
"dependent.var49","lsg_ed","ones",NA,"ones",1.69724770642202,NA,1.48735149249784,1.9071439203462,"district","dibis"
"dependent.var50","lsg_ed","ones",NA,"ones",1.91111111111111,NA,1.66403709151198,2.15818513071024,"district","tooz.khurmato"
"dependent.var51","lsg_ed","ones",NA,"ones",1.42465753424658,NA,1.21553525796275,1.6337798105304,"district","dokan"
"dependent.var52","lsg_ed","ones",NA,"ones",1.02352941176471,NA,0.977412612128469,1.06964621140094,"district","al.kahla"
