"survey","uuid","log_date","governorate","location_id","location_name","district","ngo","ngo_name","enumerator","question.name","issue","feedback","action","changed","old.value","new.value"
NA,"ef081267-c016-4b96-aacd-9f1deb62aae7",NA,NA,NA,NA,NA,NA,NA,NA,"cluster_location_id","wrong cluster selected, the right one is checked with the gps points",NA,"change",TRUE,"cluster_location_id_0599","cluster_location_id_0559"
NA,"ceeb61f3-bbff-4417-99c2-751abafd954b",NA,NA,NA,NA,NA,NA,NA,NA,"cluster_location_id","wrong cluster selected, the right one is checked with the gps points",NA,"change",TRUE,"cluster_location_id_0599","cluster_location_id_0559"
NA,"c0544866-44e4-4ae5-b65d-1e55aaa03b15",NA,NA,NA,NA,NA,NA,NA,NA,"cluster_location_id","wrong cluster selected, the right one is checked with the gps points",NA,"change",TRUE,"cluster_location_id_0599","cluster_location_id_0559"
NA,"a26b8892-374e-4ffa-8ee8-604f412c9239",NA,NA,NA,NA,NA,NA,NA,NA,"cluster_location_id","wrong cluster selected, the right one is checked with the gps points",NA,"change",TRUE,"cluster_location_id_0553","cluster_location_id_0556"
NA,"387df9d6-9678-4540-a7f1-c3afb3eb0936",NA,NA,NA,NA,NA,NA,NA,NA,"cluster_location_id","wrong cluster selected, the right one is checked with the gps points",NA,"change",TRUE,"cluster_location_id_0354","cluster_location_id_0356"
NA,"05b4c76c-5f71-4d5d-858f-994a999ea93e",NA,NA,NA,NA,NA,NA,NA,NA,"cluster_location_id","wrong cluster selected, the right one is checked with the gps points",NA,"change",TRUE,"cluster_location_id_0354","cluster_location_id_0356"
NA,"54a1b25a-f396-47ae-98f5-a9fecde81f1b",NA,NA,NA,NA,NA,NA,NA,NA,"cluster_location_id","wrong cluster selected, the right one is checked with the gps points",NA,"change",TRUE,"cluster_location_id_0354","cluster_location_id_0356"
NA,"f2b3c671-e1ff-49d9-8718-313e2e96123e",NA,NA,NA,NA,NA,NA,NA,NA,"cluster_location_id","wrong cluster selected, the right one is checked with the gps points",NA,"change",TRUE,"cluster_location_id_0354","cluster_location_id_0356"
NA,"815767bb-d87e-4fa7-8bd1-1cd7a2d11847",NA,NA,NA,NA,NA,NA,NA,NA,"cluster_location_id","wrong cluster selected, the right one is checked with the gps points",NA,"change",TRUE,"cluster_location_id_0354","cluster_location_id_0356"
NA,"2e64202e-e193-41e1-9cd0-0a36ea98f103",NA,NA,NA,NA,NA,NA,NA,NA,"cluster_location_id","wrong cluster selected, the right one is checked with the gps points",NA,"change",TRUE,"cluster_location_id_0354","cluster_location_id_0356"
NA,"6a222a81-4d71-4062-bc79-e046d8247ef4",NA,NA,NA,NA,NA,NA,NA,NA,"cluster_location_id","wrong cluster selected, the right one is checked with the gps points",NA,"change",TRUE,"cluster_location_id_0354","cluster_location_id_0356"
NA,"0ed9f86a-680e-4a4c-9e1c-9885bdb9196e",NA,NA,NA,NA,NA,NA,NA,NA,"cluster_location_id","wrong cluster selected, the right one is checked with the gps points",NA,"change",TRUE,"cluster_location_id_0356","cluster_location_id_0371"
NA,"100ffd3d-b080-48c8-888b-7dbfbfc885cb",NA,NA,NA,NA,NA,NA,NA,NA,"cluster_location_id","wrong cluster selected, the right one is checked with the gps points",NA,"change",TRUE,"cluster_location_id_0364","cluster_location_id_0363"
NA,"cfa63077-dad1-4ea1-9c83-0b27d17dea36",NA,NA,NA,NA,NA,NA,NA,NA,NA,"this was confirmed being a test survey",NA,"deletion",NA,NA,NA
NA,"c6c926c5-d5ee-4fe3-9450-0d7dde212fdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,"this was confirmed being a test survey",NA,"deletion",NA,NA,NA
NA,"23e0f7b3-72cd-4890-814d-4f860404dae0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"this was confirmed being a test survey",NA,"deletion",NA,NA,NA
NA,"87f24440-12e8-46bf-98ef-7295311f68be",NA,NA,NA,NA,NA,NA,NA,NA,NA,"this was confirmed being a test survey",NA,"deletion",NA,NA,NA
NA,"25a36d19-f0f6-4051-ab45-9ca61b8aec7c",NA,NA,NA,NA,NA,NA,NA,NA,NA,"this was confirmed being a test survey",NA,"deletion",NA,NA,NA
NA,"6edc63ee-211f-420d-adbe-ae71babb654c",NA,NA,NA,NA,NA,NA,NA,NA,NA,"this was confirmed being a test survey",NA,"deletion",NA,NA,NA
