psu,n,new_ID,governorate,district,name,label
1101001,1,cluster_location_id_0001,dahuk,al.amadiya,Amedi,0001 (Amedi)
1101005,1,cluster_location_id_0002,dahuk,al.amadiya,Chamanke,0002 (Chamanke)
1101007,1,cluster_location_id_0003,dahuk,al.amadiya,Deraluk,0003 (Deraluk)
1101008,1,cluster_location_id_0004,dahuk,al.amadiya,Inishke,0004 (Inishke)
1101010,1,cluster_location_id_0005,dahuk,al.amadiya,Kaniya Mala,0005 (Kaniya Mala)
1101011,1,cluster_location_id_0006,dahuk,al.amadiya,Qadish Collective,0006 (Qadish Collective)
1101012,1,cluster_location_id_0007,dahuk,al.amadiya,Sarsink,0007 (Sarsink)
1101019,1,cluster_location_id_0008,dahuk,al.amadiya,Mizi Village,0008 (Mizi Village)
1101020,1,cluster_location_id_0009,dahuk,al.amadiya,Nahla Area,0009 (Nahla Area)
1101021,1,cluster_location_id_0010,dahuk,al.amadiya,Azadi,0010 (Azadi)
1102002,1,cluster_location_id_0011,dahuk,duhok,Al Sinaah,0011 (Al Sinaah)
1102007,1,cluster_location_id_0012,dahuk,duhok,Bahdinan,0012 (Bahdinan)
1102009,1,cluster_location_id_0013,dahuk,duhok,Baroshke,0013 (Baroshke)
1102011,1,cluster_location_id_0014,dahuk,duhok,Bazaar,0014 (Bazaar)
1102016,1,cluster_location_id_0015,dahuk,duhok,Dabin 2,0015 (Dabin 2)
1102017,1,cluster_location_id_0016,dahuk,duhok,Diyari,0016 (Diyari)
1102018,1,cluster_location_id_0017,dahuk,duhok,Eminke,0017 (Eminke)
1102022,1,cluster_location_id_0018,dahuk,duhok,Etit,0018 (Etit)
1102025,2,cluster_location_id_0019,dahuk,duhok,Kora,0019 (Kora)
1102027,1,cluster_location_id_0020,dahuk,sumail,Kevila,0020 (Kevila)
1102032,1,cluster_location_id_0021,dahuk,duhok,Masik-1,0021 (Masik-1)
1102035,1,cluster_location_id_0022,dahuk,duhok,Mazi,0022 (Mazi)
1102039,2,cluster_location_id_0023,dahuk,duhok,Nazarke,0023 (Nazarke)
1102040,1,cluster_location_id_0024,dahuk,duhok,Qassara,0024 (Qassara)
1102043,1,cluster_location_id_0025,dahuk,duhok,Sarbasti,0025 (Sarbasti)
1102046,1,cluster_location_id_0026,dahuk,duhok,Shakhke,0026 (Shakhke)
1102049,1,cluster_location_id_0027,dahuk,duhok,Zawita,0027 (Zawita)
1102050,2,cluster_location_id_0028,dahuk,duhok,Avrike,0028 (Avrike)
1102051,1,cluster_location_id_0029,dahuk,duhok,Zeri Land,0029 (Zeri Land)
1102060,1,cluster_location_id_0030,dahuk,duhok,Baroshka Saadin,0030 (Baroshka Saadin)
1102063,1,cluster_location_id_0031,dahuk,duhok,Rizgari,0031 (Rizgari)
1103001,1,cluster_location_id_0032,dahuk,sumail,Avro City,0032 (Avro City)
1103002,2,cluster_location_id_0033,dahuk,sumail,Bajit Kandala,0033 (Bajit Kandala)
1103004,1,cluster_location_id_0034,dahuk,sumail,Bakhitme,0034 (Bakhitme)
1103006,1,cluster_location_id_0035,dahuk,sumail,Batel,0035 (Batel)
1103009,1,cluster_location_id_0036,dahuk,sumail,Fayda,0036 (Fayda)
1103012,1,cluster_location_id_0037,dahuk,sumail,Girsheen,0037 (Girsheen)
1103020,1,cluster_location_id_0038,dahuk,sumail,Misereek,0038 (Misereek)
1103021,1,cluster_location_id_0039,dahuk,sumail,Namrike,0039 (Namrike)
1103024,1,cluster_location_id_0040,dahuk,sumail,Semel,0040 (Semel)
1103025,2,cluster_location_id_0041,dahuk,sumail,Shariya,0041 (Shariya)
1103030,1,cluster_location_id_0042,dahuk,sumail,War City,0042 (War City)
1103034,1,cluster_location_id_0043,dahuk,sumail,Domiz-Halat,0043 (Domiz-Halat)
1103039,1,cluster_location_id_0044,dahuk,sumail,Kherava,0044 (Kherava)
