Indicator Group / Sector,research.question,sub.research.question,repeat.for.variable,independent.variable,independent.variable.type,dependent.variable,dependent.variable.type,hypothesis.type
"Intentions, Protection - MA",% of IDP HHs not intending to return to their AoO due to explosive hazards contamination,% of IDP HHs not intending to return to their AoO due to explosive hazards contamination,district,,,g73,categorical,direct_reporting
Protection - HLP,% HH lacking secure tenure,% HH lacking secure tenure,district,,,g68,categorical,direct_reporting
"Protection, Protection - CP",% HH missing at least one key household or individual document ,% HH missing at least one key household or individual document ,district,,,g51,categorical,direct_reporting
"Protection, Protection - CP",Sub-indicator: % HH with at least one child missing a key document,Sub-indicator: % HH with at least one child missing a key document,district,,,g51_sub,categorical,direct_reporting
"Protection, Protection - CP",Number of missing documents,Number of missing documents,district,,,g51_alt,numerical,direct_reporting
Protection - Protection CP,Number of reported children missing birth certificates,Number of reported children missing birth certificates,district,,,g51a,numerical,direct_reporting
Protection - Protection CP,Number of reported children missing national ID,Number of reported children missing national ID,district,,,g51b,numerical,direct_reporting
"Protection, Access and safety",% HHs experiencing daytime movement restrictions,% HHs experiencing daytime movement restrictions,district,,,g54,categorical,direct_reporting
Protection - GBV ,% women and girls who avoid areas because they feel unsafe there,% women and girls who avoid areas because they feel unsafe there,district,,,g63,categorical,direct_reporting
HH Profile,Average household size,Average household size,district,,,a7,numerical,direct_reporting
Family Profile,Average family size ,Average family size ,district,,,a8,numerical,direct_reporting
Family Profile,% of male family members,% of [male/female] family members,district,,,a9_male,numerical,direct_reporting
Family Profile,% of female family members,% of [male/female] family members,district,,,a9_female,numerical,direct_reporting
Family Profile,% of children family members,% of [children/adult/elderly] family members,district,,,a10_child,numerical,direct_reporting
Family Profile,% of adult family members,% of [children/adult/elderly] family members,district,,,a10_adult,numerical,direct_reporting
Family Profile,% ofelderly family members,% of [children/adult/elderly] family members,district,,,a10_elderly,numerical,direct_reporting
"Family Profile, 
Protection","% of single-headed households (separated, divorced, widowed) ","% of single-headed households (separated, divorced, widowed) ",district,,,a11,categorical,direct_reporting
"Family Profile, Protection CP & Protection GBV",% of households with presence of child marriage,% of households with presence of child marriage,district,,,a12,categorical,direct_reporting
"Family Profile, Health",% of women pregnant / lactating,% of women pregnant / lactating,district,,,c11,categorical,direct_reporting
"Family Profile, Health",% HH with at least one individual with a chronic health condition,% HH with at least one individual with a chronic health condition,district,,,g35,categorical,direct_reporting
"Protection, Health","% HH with at least one individual with a disability (% HH with at least on individual that has ""lots of difficulty"" or ""cannot do at all"" one of the following activities: seeing, hearing, walking/climbing steps, remembering/concerntrating, self-care, communicating)","% HH with at least one individual with a disability (% HH with at least on individual that has ""lots of difficulty"" or ""cannot do at all"" one of the following activities: seeing, hearing, walking/climbing steps, remembering/concerntrating, self-care, communicating)",district,,,c3,categorical,direct_reporting
"Protection MA,
Health",% HH with individuals whose disability is related to an explosive hazard,% HH with individuals whose disability is related to an explosive hazard,district,,,c2,categorical,direct_reporting
Protection,% HH with members unable to access one or more services due to disability,% HH with members unable to access one or more services due to disability,district,,,c9,categorical,direct_reporting
"Education, Protection - CP",% HH with at least one child not attending formal or informal education regularly (at least 3 days a week),% HH with at least one child not attending formal or informal education regularly (at least 3 days a week),district,,,g4,categorical,direct_reporting
"Education 
Protection - CP",% HH with at least one child that dropped out after January 2014,% HH with at least one child that dropped out after January 2014,district,,,g6,categorical,direct_reporting
Famile profile - Protection CP,% HH with at least one person under (<18) working,% HH with at least one person under (<18) working,district,,,a13,categorical,direct_reporting
Family profile - Emerg. livelihoods,% HH with at least one adult (18+) unemployed and seeking work,% HH with at least one adult (18+) unemployed and seeking work,district,,,g44,categorical,direct_reporting
Famile profile - Protection CP,Main barriers to school for school-aged children,"We can’t afford to pay for the school related expenses (Examples include: Cannot afford to pay for the school fees (e.g. school supplies, tuition, textbook, food, uniforms, etc.), Cannot afford to pay for transport)",district,,,g7_i,categorical,direct_reporting
Famile profile - Protection CP,Main barriers to school for school-aged children,"School stopped functioning and is now closed (Examples include: Occupied by armed forces, Partially damaged, Totally damaged, Occupied by displaced persons, Lack of students)",district,,,g7_ii,categorical,direct_reporting
Famile profile - Protection CP,Main barriers to school for school-aged children,"Going or attending school is not safe (Examples include: it is unsafe to travel or go to school, Fear of recruitment in/on way to school, Fear of bombing, Fear of violence against children at school (corporal punishment, harassment by teachers and other students, bullying, etc.), Fear of abduction in/on way to school)",district,,,g7_iii,categorical,direct_reporting
Famile profile - Protection CP,Main barriers to school for school-aged children,"We are not able to register or enrol our children in the school (Examples include: Lack of documentation to enrol child, Recently or continuous movement to different locations, Newly arrived at location and have yet to enrol/register, Unable to enrol school due to discrimination, Poor performance/dismissed)",district,,,g7_iv,categorical,direct_reporting
Famile profile - Protection CP,Main barriers to school for school-aged children,"Our children can’t physically go to the school (Examples include: Disability (of child), Traumatization (of child), School is too far away, No transport available to bring to school, No fuel available to bring to school, Child ill, disabled or unhealthy, Child is too young)",district,,,g7_v,categorical,direct_reporting
Famile profile - Protection CP,Main barriers to school for school-aged children,School and classes are overcrowded,district,,,g7_vi,categorical,direct_reporting
Famile profile - Protection CP,Main barriers to school for school-aged children,"Lack of staff to run the school (Examples include: Lack of teachers, Lack of skilled/trained teachers, Lack of gender appropriate teachers/staff)",district,,,g7_vii,categorical,direct_reporting
Famile profile - Protection CP,Main barriers to school for school-aged children,"The school infrastructure is poor (Examples include: The schools building is in poor condition (e.g. lack of furniture, no electricity, water leaks, poor latrines, poor amenities, etc.), The WASH facilities are in poor conditions (latrines maintenance, smell, lightning, gender segregation, etc.)",district,,,g7_viii,categorical,direct_reporting
Famile profile - Protection CP,Main barriers to school for school-aged children,The curriculum and teaching are not adapted for our children (Examples include: Curriculum is not appropriate; Language is not appropriate),district,,,g7_ix,categorical,direct_reporting
Famile profile - Protection CP,Main barriers to school for school-aged children,"Our children are busy working or supporting the household (Examples include: Children need to stay at home and assist the family with household chores or contribute to HH income, Early marriage)",district,,,g7_x,categorical,direct_reporting
Famile profile - Protection CP,Main barriers to school for school-aged children,"Parental refusal to send children to school (Examples include: Customs/tradition, Don't believe schooling is necessary/do not consider education important, Missed too much school to make up, Children shouldn't get western education)",district,,,g7_xi,categorical,direct_reporting
Famile profile - Protection CP,Main barriers to school for school-aged children,Lack of interest of children in education.,district,,,g7_xii,categorical,direct_reporting
"Education, Protection - CP",% HH with at least one child unable to attend formal education because of lack of civil documentation,% HH with at least one child unable to attend formal education because of lack of civil documentation,district,,,g7a,categorical,direct_reporting
Livelihoods,Main barriers to employment,Increased competition for jobs; not enough jobs for everyone,district,,,g45_i,categorical,direct_reporting
Livelihoods,Main barriers to employment,Available jobs are too far away,district,,,g45_ii,categorical,direct_reporting
Livelihoods,Main barriers to employment,"Only low-skilled, socially degrading or low-paid jobs are available",district,,,g45_iii,categorical,direct_reporting
Livelihoods,Main barriers to employment,Underqualified for available jobs,district,,,g45_iv,categorical,direct_reporting
Livelihoods,Main barriers to employment,Lack of family/personal connections,district,,,g45_v,categorical,direct_reporting
Livelihoods,Main barriers to employment,None,district,,,g45_vi,categorical,direct_reporting
