Indicator Group / Sector,research.question,sub.research.question,repeat.for.variable,independent.variable,independent.variable.type,dependent.variable,dependent.variable.type,hypothesis.type,,ignore,well.being,living.standards,protection,resilience
"Cross-cutting (CWG + Educ - school dropout, children wokring +  Protection + FSC)","% HH relying on stress, crisis and emergency strategies to cope with a lack of resources to meet basic needs. ",Minimal (1),district,population_group,categorical,s1_1,numerical,direct_reporting,,,1,,,1
"Cross-cutting (CWG + Educ - school dropout, children wokring +  Protection + FSC)","% HH relying on stress, crisis and emergency strategies to cope with a lack of resources to meet basic needs. ",Stress (2),district,population_group,categorical,s1_2,numerical,direct_reporting,,,1,,,1
"Cross-cutting (CWG + Educ - school dropout, children wokring +  Protection + FSC)","% HH relying on stress, crisis and emergency strategies to cope with a lack of resources to meet basic needs. ",Severe (3),district,population_group,categorical,s1_3,numerical,direct_reporting,,,1,,,1
"Cross-cutting (CWG + Educ - school dropout, children wokring +  Protection + FSC)","% HH relying on stress, crisis and emergency strategies to cope with a lack of resources to meet basic needs. ",Extreme (4),district,population_group,categorical,s1_4,numerical,direct_reporting,,,1,,,1
"Cross-cutting (CWG + Educ - school dropout, children wokring +  Protection + FSC)","% HH relying on stress, crisis and emergency strategies to cope with a lack of resources to meet basic needs. ",Catastrophic (5),district,population_group,categorical,s1_5,numerical,direct_reporting,,,1,,,1
"Cross-cutting 
(CWG + Disability)",(JIAF Indicator) % of household members with physical impairement,Minimal (1),district,population_group,categorical,s2_1,numerical,direct_reporting,,,1,,,
"Cross-cutting 
(CWG + Disability)",(JIAF Indicator) % of household members with physical impairement,Stress (2),district,population_group,categorical,s2_2,numerical,direct_reporting,,,1,,,
"Cross-cutting 
(CWG + Disability)",(JIAF Indicator) % of household members with physical impairement,Severe (3),district,population_group,categorical,s2_3,numerical,direct_reporting,,,1,,,
"Cross-cutting 
(CWG + Disability)",(JIAF Indicator) % of household members with physical impairement,Extreme (4),district,population_group,categorical,s2_4,numerical,direct_reporting,,,1,,,
"Cross-cutting 
(CWG + Disability)",(JIAF Indicator) % of household members with physical impairement,Catastrophic (5),district,population_group,categorical,s2_5,numerical,direct_reporting,,,1,,,
"Cross-Cutting 
(SNFI + CCCM)",% HHs needing basic NFI items,Minimal (1),district,population_group,categorical,s3_1,numerical,direct_reporting,,TRUE,,1,,
"Cross-Cutting 
(SNFI + CCCM)",% HHs needing basic NFI items,Stress (2),district,population_group,categorical,s3_2,numerical,direct_reporting,,TRUE,,1,,
"Cross-Cutting 
(SNFI + CCCM)",% HHs needing basic NFI items,Severe (3),district,population_group,categorical,s3_3,numerical,direct_reporting,,TRUE,,1,,
"Cross-Cutting 
(SNFI + CCCM)",% HHs needing basic NFI items,Extreme (4),district,population_group,categorical,s3_4,numerical,direct_reporting,,TRUE,,1,,
"Cross-Cutting 
(SNFI + CCCM)",% HHs needing basic NFI items,Catastrophic (5),district,population_group,categorical,s3_5,numerical,direct_reporting,,TRUE,,1,,
