list_name,name,label,label::Arabic,Filter,X6
Governorate_MCNA,Anbar,Anbar,???????,,
Governorate_MCNA,Babylon,Babylon,????,,
Governorate_MCNA,Baghdad,Baghdad,?????,,
Governorate_MCNA,Basrah,Basrah,??????,,
Governorate_MCNA,Dahuk,Dahuk,????,,
Governorate_MCNA,Diyala,Diyala,?????,,
Governorate_MCNA,Erbil,Erbil,?????,,
Governorate_MCNA,Kerbala,Kerbala,??????,,
Governorate_MCNA,Missan,Missan,?????,,
Governorate_MCNA,Muthanna,Muthanna,??????,,
Governorate_MCNA,Najaf,Najaf,?????,,
Governorate_MCNA,Ninewa,Ninewa,?????,,
Governorate_MCNA,Qadissiya,Qadissiya,????????,,
Governorate_MCNA,Sulaymaniyah,Sulaymaniyah,??????????,,
Governorate_MCNA,Thi_Qar,Thi-Qar,?? ???,,
Governorate_MCNA,Wassit,Wassit,????,,
Governorate_MCNA,Kirkuk,Kirkuk,?????,,
Governorate_MCNA,Salah_al_Din,Salah al-Din,???? ?????,,
,,,,,
District_MCNA,ana,Ana,,Anbar,
District_MCNA,al.falluja,Al Falluja,,Anbar,
District_MCNA,al.falluia,Al Falluia,,Anbar,
District_MCNA,haditha,Haditha,,Anbar,
District_MCNA,heet,Heet,,Anbar,
District_MCNA,al.ka.im,Al Ka'im,,Anbar,
District_MCNA,al.qa.em,Al Qa'em,,Anbar,
District_MCNA,al.ramadi,Al Ramadi,,Anbar,
District_MCNA,al.rutba,Al Rutba,,Anbar,
District_MCNA,al.hashimiya,Al Hashimiya,,Babylon,
District_MCNA,al.hilla,Al Hilla,,Babylon,
District_MCNA,al.mahaweel,Al Mahaweel,,Babylon,
District_MCNA,al.musayab,Al Musayab,,Babylon,
District_MCNA,al.adhamiya,Al Adhamiya,,Baghdad,
District_MCNA,al.kadhmiya,Al Kadhmiya,,Baghdad,
District_MCNA,al.karkh,Al Karkh,,Baghdad,
District_MCNA,al.mada.en,Al Mada'en,,Baghdad,
District_MCNA,al.mahmoudiya,Al Mahmoudiya,,Baghdad,
District_MCNA,al.resafa,Al Resafa,,Baghdad,
District_MCNA,al.thawra,Al Thawra,,Baghdad,
District_MCNA,abu.al.khaseeb,Abu Al Khaseeb,,Basrah,
District_MCNA,al.basrah,Al Basrah,,Basrah,
District_MCNA,al.fao,Al Fao,,Basrah,
District_MCNA,al.mahmoudiya,Al Mahmoudiya,,Basrah,
District_MCNA,al.qurna,Al Qurna,,Basrah,
District_MCNA,shatt.al.arab,Shatt Al Arab,,Basrah,
District_MCNA,al.zubair,Al Zubair,,Basrah,
District_MCNA,al.amedi,Al Amedi,,Dahuk,
District_MCNA,dahuk,Dahuk,,Dahuk,
District_MCNA,sumel,Sumel,,Dahuk,
District_MCNA,zakho,Zakho,,Dahuk,
District_MCNA,baladruz,Baladruz,,Diyala,
District_MCNA,ba.quba,Ba'quba,,Diyala,
District_MCNA,al.khalis,Al Khalis,,Diyala,
District_MCNA,khanaqin,Khanaqin,,Diyala,
District_MCNA,kifri,Kifri,,Diyala,
District_MCNA,al.muqdadiya,Al Muqdadiya,,Diyala,
District_MCNA,al.zibar,Al Zibar,,Erbil,
District_MCNA,erbil,Erbil,,Erbil,
District_MCNA,koysinjaq,Koysinjaq,,Erbil,
District_MCNA,makhmour,Makhmour,,Erbil,
District_MCNA,shaqlawa,Shaqlawa,,Erbil,
District_MCNA,rawanduz,Rawanduz,,Erbil,
District_MCNA,ain.al.tamur,Ain Al Tamur,,Kerbala,
District_MCNA,al.hindiya,Al Hindiya,,Kerbala,
District_MCNA,kerbala,Kerbala,,Kerbala,
District_MCNA,dibis,Dibis,,Kirkuk,
District_MCNA,daquq,Daquq,,Kirkuk,
District_MCNA,al.hawiga,Al Hawiga,,Kirkuk,
District_MCNA,kirkuk,Kirkuk,,Kirkuk,
District_MCNA,ali.al.gharbi,Ali Al Gharbi,,Missan,
District_MCNA,al.amara,Al Amara,,Missan,
