"","id_sampl","Survey","strata","psu","DTM.Round","Place.ID","Governorate","District","Location.Name","Arabic.Name","Latitude","Longitude","Families","critical_shelter","COD_Subdistrict","COD_Governorate","pop","IDP_perc","SumDist","proba","survey_buffer"
"1","id_100",6,"Sumail","1103012",109,8246,"Dahuk","Sumel","Girsheen","كرشين",36.9924547544,42.6007082224,68,TRUE,"Bateel","Duhok",262.059987038374,25.9482574079662,8240.0502821058,0.0318032024158234,7
"2","id_1029",17,"Al-Kadhmiyah","2301003",109,24047,"Baghdad","Abu Ghraib","Abo Moniaser","ابو منيصير",33.2943003676,44.0949169388,48,TRUE,"Abu Ghraib","Baghdad",1393.3011277914,3.44505570565979,6001.72234755754,0.232150214072869,18
"3","id_1053",5,"Al-Kadhmiyah","2301038",109,7553,"Baghdad","Abu Ghraib","Hay Al-Shuhadaa","حي الشهداء-خان ضاري",33.2945232332,44.0569122614,27,TRUE,"Abu Ghraib","Baghdad",675.120888868968,3.99928374979379,6001.72234755754,0.112487857613692,6
"4","id_1058",10,"Al-Kadhmiyah","2301045",109,25126,"Baghdad","Abu Ghraib","Khan Dhari Center","خان ضاري مركز",33.2994513974,44.0622807136,25,TRUE,"Abu Ghraib","Baghdad",856.105314652125,2.9202014719601,6001.72234755754,0.142643272226768,11
"5","id_1060",8,"Al-Kadhmiyah","2301048",109,25128,"Baghdad","Abu Ghraib","Khernabat-South","خرنابات الجنوبيه",33.3205739005,44.1922277231,91,TRUE,"Abu Ghraib","Baghdad",552.42129166921,16.4729349451814,6001.72234755754,0.0920437933777497,9
"6","id_1067",4,"Al-Kadhmiyah","2301073",109,31713,"Baghdad","Abu Ghraib","Shuhada Markza-Shuhadda the first","الشهداءالمركز-شهداء الاولى",33.3016274152,44.1465099815,91,TRUE,"Abu Ghraib","Baghdad",390.038643836975,23.3310215379672,6001.72234755754,0.0649877853805924,5
"7","id_1068",8,"Al-Kadhmiyah","2301074",109,31714,"Baghdad","Abu Ghraib","Shuhada Markza-Shuhdda the second","الشهداء المركز-شهداء الثانية",33.3090530065,44.1452795742,62,TRUE,"Abu Ghraib","Baghdad",588.68541542689,10.5319408932596,6001.72234755754,0.0980860795179005,9
"8","id_107",12,"Sumail","1103021",109,7990,"Dahuk","Sumel","Namrike","نمريكي",36.7388267266,42.8842706347,13,TRUE,"Sindi","Duhok",298.836564719677,4.35020393578497,8240.0502821058,0.0362663520838743,13
"9","id_1074",67,"Al-Adhamiya","2302007",109,23728,"Baghdad","Adhamia","Adhamiya-310","الاعظمية-310",33.3657624508,44.356204488,24,TRUE,"Markaz Al-Adhamiya","Baghdad",5487.93399175008,0.437323044265452,5487.93399175008,1,70
"10","id_110",30,"Sumail","1103024",109,8336,"Dahuk","Sumel","Semel","سيميل",36.8571911693,42.8494559975,1163,TRUE,"Markaz Sumail","Duhok",2054.26297603051,56.6139785202811,8240.0502821058,0.249302237935559,31
"11","id_111",6,"Sumail","1103025",109,8369,"Dahuk","Sumel","Shariya","شاريا",36.7861301566,42.9779510047,4447,TRUE,"Sindi","Duhok",559.436017394066,794.907703782601,8240.0502821058,0.0678923062652839,7
"12","id_127",6,"Sumail","1103043",109,27125,"Dahuk","Sumel","Old Qasr Yazddin","قسريزدين قديمة",36.8210205191,42.8073927523,199,TRUE,"Markaz Sumail","Duhok",222.694813450178,89.3599616968724,8240.0502821058,0.0270259046760654,7
