,id_sampl,Survey,strata,psu,DTM.Round,Place.ID,Governorate,District,Location.Name,Arabic.Name,Latitude,Longitude,pop,COD_Subdistrict,COD_Governorate,SumDist,proba,survey_buffer
1,id_1,6,Al-Amadiya,1101001,109,7861,Dahuk,Amedi,Amedi,عمادية,37.09238902,43.48775799,14,Markaz Al-Amadiya,Duhok,514,0.027237354,7
2,id_10,12,Al-Amadiya,1101011,109,7862,Dahuk,Amedi,Qadish Collective,قدش,37.10053202,43.38572992,17,Sarsank,Duhok,514,0.03307393,13
3,id_1041,6,Al-Kadhmiyah,2301021,109,23865,Baghdad,Abu Ghraib,Al-Nasir Walsalam-6000,النصر والسلام-6000,33.29387797,44.04057778,22,Abu Ghraib,Baghdad,2657,0.008280015,7
4,id_1042,6,Al-Kadhmiyah,2301022,109,24045,Baghdad,Abu Ghraib,Al-Nasir Walsalam-7000,النصر والسلام-7000,33.29855044,44.02594558,36,Abu Ghraib,Baghdad,2657,0.013549116,7
5,id_1045,6,Al-Kadhmiyah,2301026,109,24054,Baghdad,Abu Ghraib,Arab Tahoos,عرب طاحوس,33.29319117,44.00032104,9,Abu Ghraib,Baghdad,2657,0.003387279,7
6,id_1059,12,Al-Kadhmiyah,2301047,109,7709,Baghdad,Abu Ghraib,North Khernabat,خرنابات الشمالية,33.32904587,44.19359047,29,Abu Ghraib,Baghdad,2657,0.010914565,13
7,id_106,6,Sumail,1103020,109,8873,Dahuk,Sumel,Misereek,مسيريك,36.86255038,42.80526635,921,Markaz Sumail,Duhok,14538,0.063351217,7
8,id_1067,12,Al-Kadhmiyah,2301073,109,31713,Baghdad,Abu Ghraib,Shuhada Markza-Shuhadda the first,الشهداءالمركز-شهداء الاولى,33.30162742,44.14650998,91,Abu Ghraib,Baghdad,2657,0.034249153,13
9,id_1069,6,Al-Kadhmiyah,2301075,109,31715,Baghdad,Abu Ghraib,Shuhada Markza-Shuhadda the third,الشهداء المركز-شهداء الثالثة,33.3093035,44.14017803,55,Abu Ghraib,Baghdad,2657,0.020700038,7
10,id_1071,6,Al-Adhamiya,2302004,109,7717,Baghdad,Adhamia,Adhamia-308,الاعظمية-308,33.36889192,44.36372331,21,Markaz Al-Adhamiya,Baghdad,911,0.023051592,7
