,id_sampl,Survey,strata,psu,Place_ID,Governorate,District,Location_name,Arabic_name,Latitude,Longitude,OCHA_admin_1,OCHA_admin_2,OCHA_PCode,pop,COD_Subdistrict,COD_Governorate,SumDist,proba,survey_buffer
1,id_1011,6,Al-Mosul,2706159,31775,Ninewa,Mosul,Al-Areej Village,قرية العريج,36.19146914,43.20733423,,,,3000,Hammam Al-Alil,Ninewa,159060,0.018860807,7
2,id_102,6,Al-Falluja,2105027,324,Anbar,Falluja,Albu Aifan,البوعيفان,33.30279302,43.75227984,IQ-G01,IQ-D002,IQ-P00063,831,Markaz Al-Falluja,Al-Anbar,90536,0.009178669,7
3,id_1027,6,Al-Hatra,2706177,31893,Ninewa,Mosul,Qabr bin Naif Village,قرية قبر بن نايف,35.90076,43.07459,,,,104,Markaz Hatra,Ninewa,3448,0.030162413,7
4,id_103,6,Al-Falluja,2105028,289,Anbar,Falluja,Albu Alwan,قرية البوعلوان,33.33548511,43.70601463,IQ-G01,IQ-D002,IQ-P00064,1349,Markaz Al-Falluja,Al-Anbar,90536,0.01490015,7
5,id_1044,6,Al-Mosul,2706199,31912,Ninewa,Mosul,Bahzani,بحزاني ,36.457312,43.339418,IQ-G15,IQ-D087,,3120,Bashiqa,Ninewa,159060,0.01961524,7
6,id_1061,6,Al-Mosul,2706228,21672,Ninewa,Mosul,Al-rabaa Village,قرية الربيع,36.248552,43.137789,IQ-G15,IQ-D087,IQ-P20065,60,Hammam Al-Alil,Ninewa,159060,0.000377216,7
7,id_1067,12,Tilkaef,2706235,33174,Ninewa,Mosul,Tel Al-raes Al-thania Village,قرية تل الريس الثانية,36.412192,42.968775,,,,1203,Markaz Tilkaef,Ninewa,19813,0.060717711,13
8,id_107,6,Al-Falluja,2105034,318,Anbar,Falluja,Albu Khanfar,البوخنفر ,33.44080496,43.82425762,IQ-G01,IQ-D002,IQ-P00075,2216,Al-Garma,Al-Anbar,90536,0.024476451,7
9,id_1093,6,Al-Mosul,2706266,33248,Ninewa,Mosul,Al-Rabeea,حي الربيع,36.3600723,43.09438023,,,,815,Al-Muhamadath,Ninewa,159060,0.005123853,7
10,id_11,6,Makhmour,1204031,11912,Erbil,Makhmur,Abu Sheta,ابو شيته,36.110558,43.558101,IQ-G11,IQ-D066,IQ-P14150,828,Gwyer,Erbil,6226,0.132990684,10
11,id_110,6,Al-Falluja,2105037,21201,Anbar,Falluja,Albu Shihab,البوشهاب,33.39917258,43.58236978,IQ-G01,IQ-D002,IQ-P00080,1058,Markaz Al-Falluja,Al-Anbar,90536,0.011685959,7
12,id_1111,6,Al-Mosul,2706286,18386,Ninewa,Mosul,Al-Mayasa,المياسا,36.339256,43.125781,IQ-G15,IQ-D087,,229,Al-Muhamadath,Ninewa,159060,0.001439708,7
13,id_1127,6,Al-Mosul,2706302,17464,Ninewa,Mosul,Tal Khayma Village,قرية تل خيمة,36.43996585,42.85149236,IQ-G15,IQ-D087,IQ-P20215,151,Al-Muhamadath,Ninewa,159060,0.000949327,7
