Governorate,district,psu,Location.Name,popgroup,pop,stratum
Dahuk,sumail,1103012,Girsheen,host,262.059987,sumailhost
Dahuk,sumail,1103021,Namrike,host,298.8365647,sumailhost
Baghdad,al.adhamiya,2302007,Adhamiya-310,host,5487.933992,al.adhamiyahost
Dahuk,sumail,1103024,Semel,host,2054.262976,sumailhost
Dahuk,sumail,1103025,Shariya,host,559.4360174,sumailhost
Dahuk,sumail,1103043,Old Qasr Yazddin,host,222.6948135,sumailhost
Dahuk,sumail,1103053,Marina,host,343.9955089,sumailhost
Ninewa,al.mosul,2706003,Al Harmaat,host,4338.161926,al.mosulhost
Ninewa,al.mosul,2706011,Al Tanak,host,5225.033442,al.mosulhost
Ninewa,al.mosul,2706012,Al-Akhaa,host,200.1391686,al.mosulhost
Ninewa,al.mosul,2706017,Al-Karamah,host,540.1526149,al.mosulhost
Ninewa,al.mosul,2706031,Al-Quds,host,497.0815171,al.mosulhost
Ninewa,al.mosul,2706043,Hay Al Intisar,host,804.3277778,al.mosulhost
Ninewa,al.mosul,2706046,Hay Al Nahrawan,host,4852.966431,al.mosulhost
Ninewa,al.mosul,2706053,Hay Nablus,host,2778.323076,al.mosulhost
Ninewa,al.mosul,2706094,Hay Alalam,host,251.2933811,al.mosulhost
Ninewa,al.mosul,2706190,Yarmjah,host,1499.238731,al.mosulhost
Erbil,erbil,1202051,Nisthtiman Comercial Complex,host,592.8938869,erbilhost
Ninewa,al.mosul,2706279,Al-Sihha,host,2417.665461,al.mosulhost
Salah al-Din,al.shirqat,2802015,Hay Al Askari,host,615.4348099,al.shirqathost
Salah al-Din,al.shirqat,2802016,Hay Al Qasbah,host,747.8426495,al.shirqathost
Salah al-Din,al.shirqat,2802028,Tal Al Jumiala area,host,579.0513388,al.shirqathost
Basrah,al.basrah,3105030,AL Mowafaqiah,host,2086.853782,al.basrahhost
Basrah,al.basrah,3105069,Casino Lebnan,host,679.078577,al.basrahhost
Basrah,al.basrah,3105094,Hay Al Risalah,host,548.3954137,al.basrahhost
Basrah,al.basrah,3105112,Manawi pasha,host,1591.66175,al.basrahhost
Missan,al.kahla,3205002,Al Hay Al JameI,host,656.9533688,al.kahlahost
Najaf,al.najaf,3403003,Al bory,host,1272.132805,al.najafhost
Najaf,al.najaf,3403012,AL JEDAIDA,host,641.6163362,al.najafhost
Najaf,al.najaf,3403032,Aljadidah alulah,host,3917.472468,al.najafhost
Najaf,al.najaf,3403049,Al-Shaheed Al-Sadar 1,host,1059.093228,al.najafhost
Najaf,al.najaf,3403080,Al-Mazarea AL-Westa,host,996.6709599,al.najafhost
Najaf,al.najaf,3403081,Al-Qasim,host,698.9163915,al.najafhost
Najaf,al.najaf,3403084,Mazara Al-Hawli,host,347.8428102,al.najafhost
Najaf,al.najaf,3403085,Fadak Village,host,600.6168405,al.najafhost
Najaf,al.najaf,3403088,Al-Shaheed Al-Sadar-Shareet,host,894.8563988,al.najafhost
Thi-Qar,al.nasiriya,3504042,Sadir City,host,1284.615049,al.nasiriyahost
Dahuk,sumail,1103002,Bajit Kandala,host,384.6663146,sumailhost
Dahuk,sumail,1103004,Bakhitme,host,375.6972065,sumailhost
Dahuk,sumail,1103006,Batel,host,233.1225519,sumailhost
Dahuk,sumail,1103009,Fayda,host,730.1786133,sumailhost
Dahuk,al.amadiya,1101001,Amedi,idp_out_camp,14,al.amadiyaidp_out_camp
Dahuk,al.amadiya,1101011,Qadish Collective,idp_out_camp,17,al.amadiyaidp_out_camp
Baghdad,al.kadhmiyah,2301021,Al-Nasir Walsalam-6000,idp_out_camp,22,al.kadhmiyahidp_out_camp
Baghdad,al.kadhmiyah,2301022,Al-Nasir Walsalam-7000,idp_out_camp,36,al.kadhmiyahidp_out_camp
Baghdad,al.kadhmiyah,2301026,Arab Tahoos,idp_out_camp,9,al.kadhmiyahidp_out_camp
Baghdad,al.kadhmiyah,2301047,North Khernabat,idp_out_camp,29,al.kadhmiyahidp_out_camp
Dahuk,sumail,1103020,Misereek,idp_out_camp,921,sumailidp_out_camp
Baghdad,al.kadhmiyah,2301073,Shuhada Markza-Shuhadda the first,idp_out_camp,91,al.kadhmiyahidp_out_camp
Baghdad,al.kadhmiyah,2301075,Shuhada Markza-Shuhadda the third,idp_out_camp,55,al.kadhmiyahidp_out_camp
Baghdad,al.adhamiya,2302004,Adhamia-308,idp_out_camp,21,al.adhamiyaidp_out_camp
Baghdad,al.adhamiya,2302005,Adhamia-312,idp_out_camp,100,al.adhamiyaidp_out_camp
Baghdad,al.adhamiya,2302006,Adhamia-314,idp_out_camp,85,al.adhamiyaidp_out_camp
Baghdad,al.adhamiya,2302044,Al Qahira-307,idp_out_camp,30,al.adhamiyaidp_out_camp
Dahuk,al.amadiya,1101012,Sarsink,idp_out_camp,71,al.amadiyaidp_out_camp
Baghdad,al.adhamiya,2302049,Hay Al Rabee-332,idp_out_camp,55,al.adhamiyaidp_out_camp
Dahuk,sumail,1103025,Shariya,idp_out_camp,4447,sumailidp_out_camp
